year,korea_gdp,japan_gdp,china_gdp
2021,34757.72007,39285.16311,12556.33312
2020,31597.50465,39918.16756,10408.66976
2019,31902.4169,40458.00188,10143.8382
2018,33436.92306,39727.1166,9905.342004
2017,31616.8434,38834.05293,8816.986905
2016,29288.87044,39375.47316,8094.363367
2015,28732.23108,34960.63938,8016.431435
2014,29249.57522,38475.39525,7636.116601
2013,27182.73431,40898.6479,7020.338485
2012,25466.76052,49145.28043,6300.615118
2011,25096.26388,48760.07895,5614.352135
2010,23087.22564,44968.15623,4550.453108
2009,19143.85161,41308.99684,3832.236432
2008,21350.42798,39876.30397,3468.304602
2007,24086.41044,35779.02454,2693.970063
2006,21743.47745,35991.546,2099.229435
2005,19402.50263,37812.89502,1753.417829
2004,16496.12009,38298.98017,1508.668098
2003,14672.85747,35387.03742,1288.643252
2002,13165.06574,32820.79364,1148.50829
2001,11561.24837,34406.18246,1053.108243
2000,12256.99357,39169.35957,959.3724836
1999,10672.41793,36610.16832,873.2870617
1998,8281.699982,32423.75561,828.5804793
1997,12398.48003,35638.23196,781.7441643
1996,13403.04959,39150.03963,709.4137551
1995,12564.77813,44197.6191,609.6566792
1994,10385.33617,39933.51506,473.4922787
1993,8884.928319,35681.96394,377.3898395
1992,8126.67039,31414.98464,366.4606923
1991,7636.982429,28915.0082,333.1421454
1990,6610.036508,25371.46417,317.884673
1989,5817.029181,24822.77557,310.8819124
1988,4748.629608,25059.00743,283.5376952
1987,3554.595206,20748.99092,251.811957
1986,2834.903848,17113.26232,281.9281209
1985,2482.399956,11576.69211,294.4588485
1984,2413.263925,10978.91981,250.713969
1983,2198.934472,10421.21244,225.4319289
1982,1992.528225,9575.607713,203.3349195
1981,1883.451279,10360.17827,197.0714745
1980,1715.42946,9463.353855,194.8047222
1979,1783.622313,9103.564756,183.9831522
1978,1405.822374,8820.691945,156.3963885
1977,1055.880041,6335.286871,185.4228329
1976,834.134208,5197.622337,165.4055404
1975,617.4560619,4674.445481,178.3418196
1974,563.3559578,4353.824355,160.1400937
1973,406.8988301,3974.745605,157.0903743
1972,324.1962768,2967.041996,131.8835612
1971,301.1765677,2272.077802,118.6545778
1970,279.3049689,2056.122046,113.1629916
1969,243.4224129,1684.659403,100.1299033
1968,198.431298,1451.337703,91.47271831
1967,161.159931,1239.318377,96.58953194
1966,133.4748485,1068.55844,104.3245662
1965,108.7221312,928.5188486,98.48677775
1964,123.6034948,843.6168785,85.49855516
1963,146.3143419,724.6937622,74.31364345
1962,106.1485057,639.6407854,70.90941167
1961,93.82864905,568.9077427,75.80583793
1960,158.2493033,475.3190756,89.52054151
